genbank_id	isolate	isolation_source	broad_category	genbank_accession	completeness	contamination	ncbi_species_name
GCA_900163565	Agrococcus casei	Food, Sear-ripened cheeses, surfaces###Gubbeen cheese	#Dairy product	GCA_900163565.1	98.62	0.66	Agrococcus casei
GCA_900099705	Agrococcus jejuensis	From seaweed###Dried seaweed around Samyang Beach in Jeju###Dried seaweed	NA	GCA_900099705.1	98.82	1.72	Agrococcus jejuensis
GCA_004134805	Agromyces atrinae	From Jeotgal, fermented shellfisg###traditional fermented seafood	#Fermented	GCA_004134805.1	80.32	13.83	Agromyces atrinae
GCA_001544355	Alicyclobacillus acidiphilus	Acidic beverage###Off-flavoured, acidic beverage###acidic beverage, that was off-flavored	NA	GCA_001544355.1	95.79	4.84	Alicyclobacillus acidiphilus
GCA_008933155	Aliivibrio finisterrensis	cultured Manila clamp <i> Ruditapes philippinarum</i>	#Mollusca	GCA_008933155.1	99.66	0.04	Aliivibrio finisterrensis
GCA_900109085	Alkalibacterium gilvum	mould-ripened, soft cheese (Brie cheese)	#Dairy product	GCA_900109085.1	97.59	3.21	Alkalibacterium gilvum
GCA_018967645	Allobacillus halotolerans	food product	#Food	GCA_018967645.1	96.94	1.29	Allobacillus halotolerans
GCA_001281265	Apilactobacillus kunkeei	Commercial Cabernet Sauvignon wine###Partially fermented grape juice###commercial grape wine undergoing a sluggish/stuck alcoholic fermentation	#Beverage	GCA_001281265.1	97.66	1.31	Apilactobacillus kunkeei
GCA_002844575	Heyndrickxia camelliae	From pu'er tea###a ripened Pu'er tea sample obtained from a manufacturer	#Beverage	GCA_002844575.1	98.49	1.46	Heyndrickxia camelliae
GCA_001050115	Bacillus smithii	Food, Cheese###cheese	#Dairy product	GCA_001050115.1	98.67	0.29	Bacillus smithii
GCA_000421665	Bavariicoccus seileri	Surface of mature German red smear soft cheese###surface and smear water of smear-ripened soft cheeses	NA	GCA_000421665.1	94.96	0.33	Bavariicoccus seileri
GCA_000022965	Bifidobacterium animalis subsp. lactis	Fermented milk###yoghurt	#Dairy product	GCA_000022965.1	99	0.27	Bifidobacterium animalis
GCA_002259795	Bifidobacterium aquikefiri	Water kefir###A household water kefir fermentation process carried out in 2014	NA	GCA_002259795.1	95.22	2.21	Bifidobacterium aquikefiri
GCA_000741285	Bifidobacterium mongoliense	Airag, a traditional fermented mare's milk product from Mongolia###airag, the Mongolian traditional beverage made of fermented mare's milk	#Beverage	GCA_000741285.1	93.39	0.65	Bifidobacterium mongoliense
GCA_006539005	Brevibacterium aurantiacum	Food, Cheese, Camembert###camembert cheese	NA	GCA_006539005.1	97.6	3.22	Brevibacterium aurantiacum
GCA_900169275	Brevibacterium casei	Food, Cheese, Cheddar###cheddar cheese	#Dairy product	GCA_900169275.1	97.29	5.8	Brevibacterium casei
GCA_007828155	Brevibacterium jeotgali	<i>seau-jeot</i> (shrimp jeotgal), a traditional fermented seafood	#Fermented	GCA_007828155.1	89.39	4.13	Brevibacterium jeotgali
GCA_008868375	Brevibacterium linens	Food, Cheese, Harzerkase###Dairy product###Cheese,Harzerkäse###harzer cheese	#Dairy product	GCA_008868375.1	96.24	3.87	Brevibacterium linens
GCA_000708655	Carnobacterium jeotgali	From Korean traditional fermented food###Korean traditional fermented food (jeotgal)###traditional Korean fermented food ""toha jeotgal""	#Fermented	GCA_000708655.1	88.84	0.49	Carnobacterium jeotgali
GCA_002943655	Chryseobacterium shigense	lactic acid beverage	#Beverage	GCA_002943655.1	99.34	0.21	Chryseobacterium shigense
GCA_002995785	Clostridium liquoris	An old fermentation pit###fermentation pit used for the production of Chinese strong-flavoured liquor	#Beverage	GCA_002995785.1	98.76	0	Clostridium liquoris
GCA_023656515	Clostridium swellfunianum	Pit mud of the <I>Luzhou-flavor</I> liquor manufacturer###pit mud of the Chinese <i>Luzhou-flavor</i> liquor manufacturer	#Beverage	GCA_023656515.1	100	4.36	Clostridium swellfunianum
GCA_002995795	Clostridium thermopalmarium	palm wine	#Plant sap (Flux)	GCA_002995795.1	100	0.16	Clostridium thermopalmarium
GCA_019144145	Clostridium tyrobutyricum	emmental cheese	#Dairy product	GCA_019144145.1	99.07	0.78	Clostridium tyrobutyricum
GCA_000591415	Cobetia crustatorum	From jogae jeotgal###Jeotgal, traditional Korean fermented seafood###Fermented seafood	#Fermented	GCA_000591415.1	90.41	1.13	Cobetia crustatorum
GCA_001434855	Companilactobacillus bobalius	Bobal grape must###Spanish Bobal grape must	#Fruit (Seed)	GCA_001434855.1	98.8	2.65	Companilactobacillus bobalius
GCA_000184535	Companilactobacillus farciminis	Food, Sausage###sausage	#Meat	GCA_000184535.1	95.73	3.36	Companilactobacillus farciminis
GCA_003946325	Companilactobacillus furfuricola	Fermented rice bran paste, ""nukadoko""###Nukadoko (fermented rice bran paste for Japanese pickles)	#Food	GCA_003946325.1	98.37	1.14	Companilactobacillus furfuricola
GCA_003946015	Companilactobacillus insicii	industrial pure pork salami###fermented raw meat (industrial-type pure pork salami)	#Meat	GCA_003946015.1	99.13	0.08	Companilactobacillus insicii
GCA_001438805	Companilactobacillus kimchiensis	Kimchi (traditional fermented food)###kimchi, fermented Korean food	#Fermented	GCA_001438805.1	99.13	2.94	Companilactobacillus kimchiensis
GCA_001311095	Companilactobacillus kimchii	Food, Fermented vegetable, Kimchi###fermented vegetable (kimchi)	#Fermented	GCA_001311095.1	87.87	3.46	Companilactobacillus kimchii
GCA_001434275	Companilactobacillus mindensis	Commercial sourdough###Industrial rye sourdough starter preparation (BRS)###sourdough	#Fermented	GCA_001434275.1	99.13	2.81	Companilactobacillus mindensis
GCA_001435815	Companilactobacillus nantensis	Food, Traditional French wheat sourdough###French wheat sourdough###wheat sourdough	#Food	GCA_001435815.1	99.13	2.07	Companilactobacillus nantensis
GCA_000615905	Companilactobacillus nodensis	Food, Rice bran, Japanse pickles###Rice bran###Japanese pickles	#Food	GCA_000615905.1	91.28	1.04	Companilactobacillus nodensis
GCA_000615725	Companilactobacillus paralimentarius	sourdough	#Fermented	GCA_000615725.1	87.75	1.56	Companilactobacillus paralimentarius
GCA_001434665	Companilactobacillus tucceti	Food, Meat, sausage###sausage	#Meat	GCA_001434665.1	98.29	1.35	Companilactobacillus tucceti
GCA_000260455	Companilactobacillus versmoldensis	Poultry, raw fermented sausage###Raw fermented sausage###poultry salami	NA	GCA_000260455.1	98.26	1.33	Companilactobacillus versmoldensis
GCA_000550785	Corynebacterium casei	Food, Cheese###Cheese,surface of smear-ripened cheese###surface of a smear-ripened cheese###cheese	#Dairy product	GCA_000550785.1	99.04	0	Corynebacterium casei
GCA_001941465	Corynebacterium flavescens	Food, Cheese###cheese	#Dairy product	GCA_001941465.1	98.97	3.05	Corynebacterium flavescens
GCA_001941485	Corynebacterium frankenforstense	Raw cow milk###bulk milk tank of a dairy farm	#Engineered product	GCA_001941485.1	99.4	0.41	Corynebacterium frankenforstense
GCA_001729785	Enterobacter hormaechei subsp. xiangfangensis	Sourdough	#Fermented	GCA_001729785.1	99.32	0.39	Enterobacter hormaechei
GCA_900447695	Enterococcus durans	Roquefort cheese	#Dairy product	GCA_900447695.1	98.39	0.9	Enterococcus durans
GCA_000185365	Enterococcus italicus	Food, Cheese, Toma Piemontese###Cheese,Italian Toma,from bovine milk###toma cheese	#Dairy product	GCA_000185365.1	95.96	2.14	Enterococcus italicus
GCA_015904215	Enterococcus lactis	raw milk cheese (Bitto PDO)	#Dairy product	GCA_015904215.1	99.23	0.08	Enterococcus lactis
GCA_000393875	Enterococcus malodoratus	Food, Cheese, Gouda###Cheese,Gouda###gouda cheese	#Dairy product	GCA_000393875.1	97.21	10.24	Enterococcus malodoratus
GCA_001886265	Enterococcus thailandicus	From fermented sausage(mum)###fermented sausage (mum)	#Meat	GCA_001886265.1	96.85	0.81	Enterococcus thailandicus
GCA_005405365	Enterococcus xiangfangensis	traditional pickle	#Fermented	GCA_005405365.1	96.44	4.91	Enterococcus xiangfangensis
GCA_014644275	Franconibacter daqui	Daqu sample	#Beverage	GCA_014644275.1	99.31	0	Franconibacter daqui
GCA_001437175	Fructilactobacillus fructivorans	wine	#Fruit (Seed)	GCA_001437175.1	95.45	0.27	Fructilactobacillus fructivorans
GCA_001436035	Fructilactobacillus sanfranciscensis	Food, San Francisco sour dough###San Francisco sour dough###San Francisco sourdough	#Food	GCA_001436035.1	98.28	0.94	Fructilactobacillus sanfranciscensis
GCA_900112405	Fructobacillus durionis	Traditional Malaysian acid-fermented condiment (tempoyak)###Tempoyak (Malaysian acid-fermented condiment made from pulp of the durian fruit)###Tempoyak	#Fermented	GCA_900112405.1	92	0.65	Fructobacillus durionis
GCA_000277855	Furfurilactobacillus rossiae	Food, Wheat sourdough###wheat sourdough	#Food	GCA_000277855.1	98	2.18	Furfurilactobacillus rossiae
GCA_001437435	Furfurilactobacillus siliginis	Food, Wheat-flour sample taken from standard Korean wheat-flour No. 3, produced by DaeHan Flour Mills, Korea (http://www.dhflour.co.kr)###From fermented food###wheat sourdough	#Food	GCA_001437435.1	98.91	0.74	Furfurilactobacillus siliginis
GCA_014195445	Garicola koreensis	Seau-jeot, a traditional fermented seafood###saeu-jeot (Korean salted fermented shrimp)	#Fermented	GCA_014195445.1	83.99	1.84	Garicola koreensis
GCA_015244675	Gluconobacter cerevisiae	fermenting lambic beer	#Beverage	GCA_015244675.1	96.08	5.62	Gluconobacter cerevisiae
GCA_000197735	Glutamicibacter arilaitensis	Food, Cheese, Reblochon###Surface of Reblochon cheese###Reblochon cheese	#Dairy product	GCA_000197735.1	99.41	0.46	Glutamicibacter arilaitensis
GCA_009659515	Gracilibacillus thailandensis	Fermented fish (<I>pla-ra</I>) in Thailand###fermented fish (pla-ra) from a market###pla-ra (traditional fermented fish)	#Fermented	GCA_009659515.1	98.39	0.81	Gracilibacillus thailandensis
GCA_000710615	Haladaptatus cibarius	Jeotgal, traditional Korean fermented seafood###salt-fermented seafood	#Fermented	GCA_000710615.1	99.59	0.28	Haladaptatus cibarius
GCA_014647155	Halarchaeum nitratireducens	Commercial solar salt sample from seawater in Japan###food product	#Food	GCA_014647155.1	98.84	0.82	Halarchaeum nitratireducens
GCA_014647115	Halarchaeum rubridurum	Commercial solar salt sample produced in the Philippines###commercial solar sea salt	#Marine	GCA_014647115.1	99.18	1.23	Halarchaeum rubridurum
GCA_014647095	Haloarcula salaria	Salt in a fish sauce sample from Thailand###food product	#Food	GCA_014647095.1	91.39	0.62	Haloarcula argentinensis
GCA_019823105	Halobaculum magnesiiphilum	Commercial sea salt produced in Japan###food product	#Food	GCA_019823105.1	98.17	1.45	Halobaculum magnesiiphilum
GCA_014647235	Halomicroarcula pellucida	Solar salt 'Sel marin de Guérande' from France###food product	#Food	GCA_014647235.1	99.65	0.86	Haloarcula pellucida
GCA_009902005	Halomonas alimentaria	Food, Jeotgal, korean traditinal fermented seafood###From jeotgal (Korean traditional fermented seafood)###Jeotgal, Korean traditional fermented seafood###seafood jeotgal	#Fermented	GCA_009902005.1	99.68	0.45	Halomonas alimentaria
GCA_900182635	Halorubrum cibi	Salt-fermented seafood, shrimp jeotgal###shrimp jeotgal, a traditional Korean salt-fermented food	#Fermented	GCA_900182635.1	95.07	3.82	Halorubrum cibi
GCA_000710605	Natrinema thermotolerans	From shrimp jeotgal, a traditional salt-fermented food###Shrimp jeotgal, a traditional salt-fermented food from Korea###shrimp jeotgal, a traditional fermented food	#Fermented	GCA_000710605.1	95.74	2.82	Natrinema thermotolerans
GCA_003610635	Psychroserpens magnus	Intestine of cultured flounder (<I>Paralichthys olivaceus</I>) collected from a fish farm in Shandong Province###intestine of cultured flounder <i>Paralichthys olivaceus</i>	NA	GCA_003610635.1	100	0.65	Ichthyenterobacterium magnum
GCA_000829445	Jeotgalibacillus alimentarius	Food, Jeotgal, fermented seafood###Jeotgal, Korean traditional fermented seafood###jeotgal (traditional Korean fermented seafood)###traditional fermented seafood (jeotgal)	#Fermented	GCA_000829445.1	93.8	6.45	Jeotgalibacillus alimentarius
GCA_003387165	Jeotgalicoccus halotolerans	Jeotgal###Jeotgal (traditional Korean fermented seafood)###jeotgal, traditional Korean fermented seafood	#Fermented	GCA_003387165.1	90.61	4.72	Jeotgalicoccus halotolerans
GCA_000425845	Jeotgalicoccus psychrophilus	Food, Fermented seafood jeotgal###Jeotgal, traditional Korean fermented seafood###Jeotgal (traditional Korean fermented seafood)###jeotgal, Korean fermented seafood	#Fermented	GCA_000425845.1	97.4	1.2	Jeotgalicoccus psychrophilus
GCA_003311635	Komagataeibacter cocois	gel pellicle sample of naturally fermented coconut milk	#Fermented	GCA_003311635.1	99.24	0.76	Novacetimonas cocois
GCA_000964405	Komagataeibacter hansenii	Food, Local vinegar brew###Local vinegar brewery###Mutant derived from vinegar isolate NCIB 8745###vinegar	NA	GCA_000964405.1	99.87	2.15	Novacetimonas hansenii
GCA_000164395	Komagataeibacter hansenii	vinegar	NA	GCA_000164395.1	98.1	1.58	Novacetimonas hansenii
GCA_000964425	Komagataeibacter intermedius	Swiss Kombucha beverage###Liquid phase of a tea fungus beverage (Kombucha)###tea fungus beverage (Komucha)	#Beverage	GCA_000964425.1	100	1.33	Komagataeibacter intermedius
GCA_000613305	Komagataeibacter kakiaceti	Kaki vinegar in Kumamoto Pref.###kaki vinegar	#Fruit (Seed)	GCA_000613305.1	49.47	0.95	Komagataeibacter kakiaceti
GCA_003207815	Komagataeibacter oboediens	Food, Red wine vinegar###Submerged cider vinegar fermentation at a factory###industrial red wine vinegar fermentation	#Beverage	GCA_003207815.1	100	0.57	Komagataeibacter oboediens
GCA_002155145	Kushneria konosiri	Korean traditional salt-fermented seafood Daemi-jeot###Daemi-jeot, a traditional Korean salted and fermented seafood, which is made of larval gizzard shad (Konosirus punctatus) with solar salt	#Fermented	GCA_002155145.1	98.62	1.02	Kushneria konosiri
GCA_003633775	Kushneria sinocarnis	Chinese traditional cured meat	#Meat	GCA_003633775.1	98.98	2.82	Kushneria sinocarnis
GCA_001311195	Lacticaseibacillus camelliae	Plant, Fermented tea leaves###Fermented tea leaves (<I>miang</I>) in Thailand###fermented tea leaves (miang)	#Leaf (Phyllosphere)	GCA_001311195.1	53.47	0.98	Lacticaseibacillus camelliae
GCA_000615205	Lacticaseibacillus casei	Food, Cheese###cheese	#Dairy product	GCA_000615205.1	74.35	1.28	Lacticaseibacillus casei
GCA_001311155	Lacticaseibacillus manihotivorans	Cassava fermentation process###Cassava fermenter###cassava sour starch fermentation	#Fermented	GCA_001311155.1	40.79	2.18	Lacticaseibacillus manihotivorans
GCA_023656965	Lacticaseibacillus paracasei subsp. paracasei	lactic acid beverage ""Yakult""	#Beverage	GCA_023656965.1	93.5	3.84	Lacticaseibacillus paracasei
GCA_003946305	Lacticaseibacillus porcinae	From nem chua samples(fermented pork)###Traditional Vietnamese nem chua###Food,Nem chua (fermented pork)###nem chua samples (fermented pork)	#Meat	GCA_003946305.1	99.35	0.84	Lacticaseibacillus porcinae
GCA_003946025	Lacticaseibacillus songhuajiangensis	Sourdough###traditional sourdough###From traditional sourdough	#Food	GCA_003946025.1	99.02	1.72	Lacticaseibacillus songhuajiangensis
GCA_001312865	Lacticaseibacillus thailandensis	Plant, Fermented tea leaves###fermented tea leaves (miang)	#Leaf (Phyllosphere)	GCA_001312865.1	57.75	2.83	Lacticaseibacillus thailandensis
GCA_001435215	Lactiplantibacillus argentoratensis	Plant, Root of fermented manioc###Vegetable matrices###Sour cassava (fufu)###fermented cassava roots (fufu)	#Root (Rhizome)	GCA_001435215.1	99.35	1.39	Lactiplantibacillus argentoratensis
GCA_001039045	Lactiplantibacillus herbarum	traditional Chinese fermented radish	#Fermented	GCA_001039045.1	96.16	2.37	Lactiplantibacillus herbarum
GCA_005405385	Lactiplantibacillus mudanjiangensis	Korean pickle, Japanese pickle, Chinese pickle###Pickle###traditional pickle###From traditional pickle	#Fermented	GCA_005405385.1	99.02	1.17	Lactiplantibacillus mudanjiangensis
GCA_001888655	Lactiplantibacillus plantarum subsp. plantarum	Food, Sauerkraut###pickled cabbage	NA	GCA_001888655.1	99.02	1.39	Lactiplantibacillus plantarum
GCA_001436855	Lactiplantibacillus plantarum	Fermenting jojoba meal###Jojoba meal###jojoba meal fermentation	#Shrub (Scrub)	GCA_001436855.1	99.02	1.39	Lactiplantibacillus plantarum
GCA_001438845	Lactiplantibacillus xiangfangensis	Chinese pickle###pickle	#Food	GCA_001438845.1	99.02	1.72	Lactiplantibacillus xiangfangensis
GCA_001311725	Lactobacillus acetotolerans	Food, Turbid broth of rice vinegar###Turbid broth of rice vinegar###fermented vinegar broth	NA	GCA_001311725.1	28.73	0.09	Lactobacillus acetotolerans
GCA_001971585	Companilactobacillus allii	From scallion kimchi###Scallion kimchi in Gwangju###scallion kimchi	#Fermented	GCA_001971585.1	99.13	0	Companilactobacillus allii
GCA_000178475	Lactobacillus amylolyticus	Brewery###acidified beer wort	NA	GCA_000178475.1	97.1	0.81	Lactobacillus amylolyticus
GCA_003124125	Levilactobacillus bambusae	traditional fermented ma bamboo shoot products	#Food	GCA_003124125.1	98.6	0.75	Levilactobacillus bambusae
GCA_001434585	Companilactobacillus crustorum	Food, Wheat sourdough###Wheat sourdough###Sourdough	#Fermented	GCA_001434585.1	98.8	1.74	Companilactobacillus crustorum
GCA_001953135	Lactobacillus delbrueckii subsp. bulgaricus	yoghourt	#Dairy product	GCA_001953135.1	96.87	0	Lactobacillus delbrueckii
GCA_000056065	Lactobacillus delbrueckii subsp. bulgaricus	Food, Bulgarian yogurt###Bulgarian yogurt###bulgarian yoghourt	#Dairy product	GCA_000056065.1	97.51	0	Lactobacillus delbrueckii
GCA_000615095	Lactobacillus delbrueckii	sour grain mash	#Food	GCA_000615095.1	71.38	0.55	Lactobacillus delbrueckii
GCA_001189855	Lactobacillus delbrueckii subsp. indicus	Indian dairy products###Dairy fermented product###traditional dairy fermented product (Dahi type)	#Dairy product	GCA_001189855.1	96.68	0.89	Lactobacillus delbrueckii
GCA_000192165	Lactobacillus delbrueckii subsp. lactis	Food, Cheese, Emmental Swiss###Emmental (Swiss) cheese###Cheese,Swiss Emmenthal###emmental cheese	#Dairy product	GCA_000192165.1	96.24	0	Lactobacillus delbrueckii
GCA_001190005	Lactobacillus delbrueckii subsp. sunkii	From sunki, Japanese traditional fermented vegetable(pickle)###Sunki, traditional Japanese pickles###sunki, Japanese traditional fermented vegetable	#Fermented	GCA_001190005.1	97.44	1	Lactobacillus delbrueckii
GCA_001435505	Companilactobacillus futsaii	Fu-tsai, a traditional fermented mustard product###Fermented mustard	NA	GCA_001435505.1	98.47	2.07	Companilactobacillus futsaii
GCA_000160855	Lactobacillus helveticus	Food, Cheese, Emmental Swiss###Emmental (Swiss) cheese###emmental cheese	#Dairy product	GCA_000160855.1	97.53	0.03	Lactobacillus helveticus
GCA_000615685	Lactobacillus kefiranofaciens	Food, Kefir grains###kefir grains	NA	GCA_000615685.1	83.94	0.34	Lactobacillus kefiranofaciens
GCA_001311335	Lactobacillus kefiranofaciens subsp. kefirgranum	Plant, Kefir grains###Kefir grains###Kefir grains from E.C.Hansen's lab.,Copenhagen,DK###kefir grain	NA	GCA_001311335.1	53.76	0	Lactobacillus kefiranofaciens
GCA_001313205	Secundilactobacillus kimchicus	From kimchi###Kimchi###food product	#Food	GCA_001313205.1	36.96	0.73	Secundilactobacillus kimchicus
GCA_000014525	Lacticaseibacillus paracasei	Food, Emmental cheese###Emmental cheese	#Dairy product	GCA_000014525.1	90.87	4.82	Lacticaseibacillus paracasei
GCA_000534815	Lactococcus cremoris	Raw milk###Cheese starter culture	#Starter culture	GCA_000534815.1	96.39	0.63	Lactococcus cremoris
GCA_018403745	Lactococcus formosensis	<I>Yan-tsai-shin</I> (fermented broccoli stems)###fermented broccoli stems	#Fermented	GCA_018403745.1	99.58	2.18	Lactococcus formosensis
GCA_000820425	Lactococcus garvieae	fermented milk (raib), Algerian cow	#Dairy product	GCA_000820425.1	96.4	5.62	Lactococcus garvieae
GCA_001435715	Latilactobacillus sakei subsp. carnosus	From fermented meat product(raw sausage)###Fermented meat product###Raw sausage###fermented meat produkt	#Meat	GCA_001435715.1	98.69	0	Latilactobacillus sakei
GCA_000615365	Latilactobacillus sakei	Food, Starter of sake###Moto (starter of sake)###Sake starter,'Moto'###""Moto"" starter of sake	#Beverage	GCA_000615365.1	86.54	0	Latilactobacillus sakei
GCA_002271215	Lelliottia jeotgali	Jogae-jeotgal, a traditional Korean fermented clam in Inchon###traditional Korean fermented clams (jogae-jeotgal)	#Fermented	GCA_002271215.1	100	0	Lelliottia jeotgali
GCA_001311805	Lentibacillus juripiscarius	Food, Fish, sauce###Fish sauce (nam-pla) produced in Thailand###fish sauce	NA	GCA_001311805.1	43.11	2.19	Lentibacillus juripiscarius
GCA_014646635	Lentibacillus kapialis	Shrimp paste, fermented###Fermented shrimp paste ('ka-pi') produced in Thailand###fermented shrimp paste###fermented shrimp paste from a market	#Fermented	GCA_014646635.1	98.2	1.4	Lentibacillus kapialis
GCA_000583655	Lentilactobacillus farraginis	Environment, Compost of distilled shochu residue###Compost of distilled shochu residue###composting material of distilled shochu residue	#Beverage	GCA_000583655.1	77.64	0.33	Lentilactobacillus farraginis
GCA_000159315	Lentilactobacillus hilgardii	Plant, Wine###wine	#Fruit (Seed)	GCA_000159315.1	98.69	0.44	Lentilactobacillus hilgardii
GCA_001311745	Lentilactobacillus kefiri	Food, Kefir grains###kefir grains	NA	GCA_001311745.1	43.35	0.22	Lentilactobacillus kefiri
GCA_001311425	Lentilactobacillus kisonensis	Sunki, non-salted pickle solution###Sunki, traditional Japanese pickles###non-salted pickle solution used in production of sunki (Japanese traditional fermented leaves and stems of red turnips)	#Fermented	GCA_001311425.1	52.07	0.33	Lentilactobacillus kisonensis
GCA_000415925	Lentilactobacillus otakiensis	Sunki, non-salted pickle solution###Sunki, traditional Japanese pickles###non-salted pickle solution used in production of sunki (Japanese traditional fermented leaves and stems of red turnips)	#Fermented	GCA_000415925.1	98.56	0	Lentilactobacillus otakiensis
GCA_001437335	Lentilactobacillus parabuchneri	Environment, Blair athol distillery###Late fermentation sample from a malt whiskey distillery###blair athol distillery	#Beverage	GCA_001437335.1	98.96	0.22	Lentilactobacillus parabuchneri
GCA_001311355	Lentilactobacillus parafarraginis	Environment, Compost of distilled shochu residue###Compost of distilled shochu residue###composting material of distilled shochun residue	#Beverage	GCA_001311355.1	73.59	0.54	Lentilactobacillus parafarraginis
GCA_001311445	Lentilactobacillus rapi	Sunki, non-salted pickle solution###Sunki, traditional Japanese pickles###non-salted pickle solution used in production of sunki (Japanese traditional fermented leaves and stems of red turnips)	#Fermented	GCA_001311445.1	47.61	0.18	Lentilactobacillus rapi
GCA_001435575	Lentilactobacillus sunkii	Sunki, non-salted pickle solution###Sunki, traditional Japanese pickles###non-salted pickle solution used in production of sunki (Japanese traditional fermented leaves and stems of red turnips)	#Fermented	GCA_001435575.1	99.02	0.65	Lentilactobacillus sunkii
GCA_000350525	Leucobacter salsicius	Jeotgal (a Korean salt-fermented food containing tiny shrimps)###jeotgal, a Korean salt-fermented food	#Fermented	GCA_000350525.1	98.45	1.69	Leucobacter salsicius
GCA_012396485	Leuconostoc holzapfelii	Ethiopian coffee fermentation###coffee fermentation	#Shrub (Scrub)	GCA_012396485.1	99.13	0.83	Leuconostoc holzapfelii
GCA_000160595	Leuconostoc mesenteroides subsp. cremoris	Food, Dried cheese starter powder###Hansen's dried starter powder	#Starter culture	GCA_000160595.1	92.96	0.19	Leuconostoc mesenteroides
GCA_001886915	Leuconostoc mesenteroides subsp. jonggajibkimchii	Kimchi###a commercial kimchi	#Fermented	GCA_001886915.1	92.92	0.61	Leuconostoc mesenteroides
GCA_000014445	Leuconostoc mesenteroides	Food, Fermenting olives###Olives###fermenting olives	#Fermented	GCA_000014445.1	98.54	0.19	Leuconostoc mesenteroides
GCA_019656055	Leuconostoc miyukkimchii	Brown algae kimchi (miyukkimchi)###fermented brown algae (<i>Undaria pinnatifida</i>) L. kimchi	#Brown Algae	GCA_019656055.1	99.22	0.94	Leuconostoc miyukkimchii
GCA_019656075	Leuconostoc palmae	Food, Palm, wine###palm wine	#Plant sap (Flux)	GCA_019656075.1	96.58	0.08	Leuconostoc palmae
GCA_014634805	Leuconostoc falkenbergense	Lactic culture,(Flora Danica)	#Starter culture	GCA_014634805.1	99.22	0.09	Leuconostoc falkenbergense
GCA_001434835	Levilactobacillus acidifarinae	Food, Wheat sourdough###Wheat sourdough###artisanal wheat sourdough	#Food	GCA_001434835.1	99.18	0.65	Levilactobacillus acidifarinae
GCA_002933755	Levilactobacillus brevis	Green, fermenting Sevillano variety olives###green fermenting Sevillano variety olives	#Fermented	GCA_002933755.1	99.43	0.49	Levilactobacillus brevis
GCA_001434395	Levilactobacillus hammesii	Food, Wheat sourdough###French sourdough###wheat sourdough	#Food	GCA_001434395.1	99.02	0.11	Levilactobacillus hammesii
GCA_001435525	Levilactobacillus koreensis	From cabbage kimchi(traditional Korean fermented food)###Kimchi###cabbage kimchi	#Fermented	GCA_001435525.1	99.35	0.74	Levilactobacillus koreensis
GCA_001434785	Levilactobacillus namurensis	Food, Sourdough based on wheat, rye and spelt flour###Belgian sourdough###Sourdough based on wheat,rye and spelt flour###sourdough, manufactured with wheat, rye and spelt flour	#Herbaceous plants (Grass,Crops)	GCA_001434785.1	100	0	Levilactobacillus namurensis
