genome,domain,phylum,class,order,family,genus,species,source,assembly,accession,description,substrate,country,origin,assign,database,completeness,contamination
EBC_135.6,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycodaceae,Hanseniaspora,Hanseniaspora opuntiae,This paper,MAG,NA,Queens SF Lacto Ferm 4% Yellow Peach 8/26/21,vegetable,United States of America,"California, United States of America",eukaryote,MiFoDB_beta_v3_euk,55.22,1.3
FS06_2016_noduplicates_bin.2,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kazachstania,Kazachstania saulgeensis 3,Leech et al. 2020,MAG,NA,Orange,sugar,United Kingdom,United Kingdom,eukaryote,MiFoDB_beta_v3_euk,96.07,0.41
FS09_2016_noduplicates_bin.9,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kazachstania,Kazachstania saulgeensis 4,Leech et al. 2020,MAG,NA,Ginger beer,sugar,United Kingdom,United Kingdom,eukaryote,MiFoDB_beta_v3_euk,88.82,82.61
FS31_2017_noduplicates_bin.6,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces eubayanus,Leech et al. 2020,MAG,NA,Water kefir hibiscus,sugar,Ireland,Ireland,eukaryote,MiFoDB_beta_v3_euk,92.96,0
GCA_000697035.1_RhiStoB9770-1.0_genomic,Eukaryota,Mucoromycota,Mucoromycetes,Mucorales,Rhizopodaceae,Rhizopus,Rhizopus stolonifer,NCBI,GenBank,GCA_000697035.1,NA,NA,Germany,Germany,eukaryote,MiFoDB_beta_v3_euk,94.78,31.74
GCA_001599735.1_JCM_2334_assembly_v001_genomic,Eukaryota,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,Naganishia albida,NCBI,GenBank,GCA_001599735.1,Type material of Naganishia albida,NA,Japan,Japan,eukaryote,MiFoDB_beta_v3_euk,81.8,1
GCA_001600375.1_JCM_5958_assembly_v001_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Wickerhamiella,Wickerhamiella versatilis,NCBI,GenBank,GCA_001600375.1,NA,NA,Japan,Japan,eukaryote,MiFoDB_beta_v3_euk,98.55,0.83
GCA_001664025.1_Hanva1_1_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycodaceae,Hanseniaspora,Hanseniaspora valbyensis,NCBI,GenBank,GCA_001664025.1,NA,NA,United States of America,United States of America,eukaryote,MiFoDB_beta_v3_euk,58.26,2.61
GCA_001695595.3_INRA_Pvit_2_genomic,Eukaryota,Oomycota,unk,Peronosporales,Peronosporaceae,Phytophthora,Plasmopara viticola,NCBI,GenBank,GCA_001695595.3,downy mildew,fruit,France,France,eukaryote,MiFoDB_beta_v3_euk,100,0
GCA_001747045.1_ASM174704v1_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycodaceae,Hanseniaspora,Hanseniaspora osmophila,NCBI,GenBank,GCA_001747045.1,Chardonnay must,fruit,Australia,Australia,eukaryote,MiFoDB_beta_v3_euk,94.41,0
GCA_002196765.1_ASM219676v1_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Millerozyma,Millerozyma farinosa,NCBI,GenBank,GCA_002196765.1,nuruk,grains,South Korea,South Korea,eukaryote,MiFoDB_beta_v3_euk,100,98.96
GCA_002976275.1_ASM297627v1_genomic,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Monascus,Monascus ruber,NCBI,GenBank,GCA_002976275.1,red yeast rice,grains,China,China,eukaryote,MiFoDB_beta_v3_euk,100,0
GCA_003243815.1_ASM324381v1_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Spathaspora,Candida sake,NCBI,GenBank,GCA_003243815.1,kimchi,vegetable,South Korea,South Korea,eukaryote,MiFoDB_beta_v3_euk,99.79,0
GCA_003325435.1_Razy_CA_genomic,Eukaryota,Mucoromycota,Mucoromycetes,Mucorales,Rhizopodaceae,Rhizopus,Rhizopus oligosporus,NCBI,GenBank,GCA_003325435.1,Tempeh,soy,Indonesia,Indonesia,eukaryote,MiFoDB_beta_v3_euk,94.35,51.74
GCA_003707275.3_ASM370727v3_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Kregervanrija,Kregervanrija fluxuum,NCBI,GenBank,GCA_003707275.3,Type material of Debaryomyces fluxuum,NA,United States of America,"Wisconsin, United States of America",eukaryote,MiFoDB_beta_v3_euk,100,0.41
GCA_003707595.2_ASM370759v2_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,Zygosaccharomyces bisporus,NCBI,GenBank,GCA_003707595.2,Type material of Zygosaccharomyces bisporus,NA,United States of America,"Wisconsin, United States of America",eukaryote,MiFoDB_beta_v3_euk,99.79,0
GCA_003708525.2_ASM370852v2_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kazachstania,Kazachstania unispora,NCBI,GenBank,GCA_003708525.2,Type material of Saccharomyces unisporus,NA,United States of America,"Wisconsin, United States of America",eukaryote,MiFoDB_beta_v3_euk,99.79,0.41
GCA_003708545.1_ASM370854v1_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kazachstania,Kazachstania turicensis,NCBI,GenBank,GCA_003708545.1,Type material of Saccharomyces turicensis,NA,United States of America,"Wisconsin, United States of America",eukaryote,MiFoDB_beta_v3_euk,98.55,0.83
GCA_003709245.3_ASM370924v3_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Cyberlindnera,Cyberlindnera saturnus,NCBI,GenBank,GCA_003709245.3,Type material of Saccharomyces saturnus,NA,United States of America,"Wisconsin, United States of America",eukaryote,MiFoDB_beta_v3_euk,99.59,0.21
GCA_004919595.1_Kodohm_148_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Kodamaea,Kodamaea ohmeri,NCBI,GenBank,GCA_004919595.1,Honeybee midgut,NA,United States of America,United States of America,eukaryote,MiFoDB_beta_v3_euk,100,0
GCA_005959805.1_ASM595980v1_genomic,Eukaryota,Ascomycota,Dothideomycetes,Myriangiales,Elsinoaceae,Elsinoe,Elsinoe ampelina,NCBI,GenBank,GCA_005959805.1,Vitis vinifera cv. Red Globe,NA,China,China,eukaryote,MiFoDB_beta_v3_euk,100,0
GCA_008274985.1_ASM827498v1_genomic,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sojae,NCBI,GenBank,GCA_008274985.1,meju,soy,South Korea,South Korea,eukaryote,MiFoDB_beta_v3_euk,100,0
GCA_009932455.1_ASM993245v1_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Metschnikowia,Metschnikowia pulcherrima,NCBI,GenBank,GCA_009932455.1,Fruit,fruit,United Kingdom,"Bath, United Kingdom",eukaryote,MiFoDB_beta_v3_euk,94,16.36
GCA_012295355.1_ASM1229535v1_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Brettanomyces,Brettanomyces naardenensis,NCBI,GenBank,GCA_012295355.1,lemonde,fruit,Danmark,Denmark,eukaryote,MiFoDB_beta_v3_euk,100,0
GCA_012922615.1_ASM1292261v1_genomic,Eukaryota,Basidiomycota,Tremellomycetes,Tremellales,Rhynchogastremaceae,Papiliotrema,Papiliotrema laurentii,NCBI,GenBank,GCA_012922615.1,NA,NA,United States of America,United States of America,eukaryote,MiFoDB_beta_v3_euk,95,0.2
GCA_013365045.1_LMA-244_clib_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Geotrichum,Geotrichum candidum,NCBI,GenBank,GCA_013365045.1,milk,dairy,Canada,Canada,eukaryote,MiFoDB_beta_v3_euk,99.38,11.39
GCA_023522825.1_DampeI2T2_genomic,Eukaryota,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,Diaporthe ampelina,NCBI,GenBank,GCA_023522825.1,root,NA,Vietnam,Vietnam,eukaryote,MiFoDB_beta_v3_euk,100,0.75
GCA_024220505.1_ASM2422050v1_genomic,Eukaryota,Mucoromycota,Mucoromycetes,Mucorales,Rhizopodaceae,Rhizopus,Rhizopus oryzae,NCBI,GenBank,GCA_024220505.1,tabacco leaf,NA,China,China,eukaryote,MiFoDB_beta_v3_euk,95.22,36.09
GCA_024748845.1_ASM2474884v1_genomic,Eukaryota,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula mucilaginosa,NCBI,GenBank,GCA_024748845.1,NA,NA,China,China,eukaryote,MiFoDB_beta_v3_euk,86,2.2
GCA_025999795.1_ASM2599979v1_genomic,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Monascus,Monascus purpureus,NCBI,GenBank,GCA_025999795.1,Thai fermented rice,grains,Thailand,Thailand,eukaryote,MiFoDB_beta_v3_euk,100,0
GCA_026027325.1_ASM2602732v1_genomic,Eukaryota,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Actinomucor,Actinomucor elegans,NCBI,GenBank,GCA_026027325.1,NA,NA,China,China,eukaryote,MiFoDB_beta_v3_euk,91.74,23.04
GCA_026184415.1_ASM2618441v1_genomic,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,NA,Trichothecium,Trichothecium roseum,NCBI,GenBank,GCA_026184415.1,Citrus,fruit,China,China,eukaryote,MiFoDB_beta_v3_euk,100,0
GCA_028408395.1_UA_PF_9_W20_2021_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kazachstania,Kazachstania servazzii,NCBI,GenBank,GCA_028408395.1,uninoculated grape must,fruit,Australia,Australia,eukaryote,MiFoDB_beta_v3_euk,99.59,0.62
GCA_029581925.1_ASM2958192v1_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia fermentans,NCBI,GenBank,GCA_029581925.1,NA,NA,Canada,Canada,eukaryote,MiFoDB_beta_v3_euk,83.44,3.11
GCA_029632965.1_ASM2963296v1_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Komagataella,Komagataella pastoris,NCBI,GenBank,GCA_029632965.1,methanol,NA,China,China,eukaryote,MiFoDB_beta_v3_euk,100,0
GCA_030020325.1_ASM3002032v1_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,NA,Starmerella,Starmerella bacillaris,NCBI,GenBank,GCA_030020325.1,NA,NA,China,China,eukaryote,MiFoDB_beta_v3_euk,86.09,0.43
GCA_030168465.1_ASM3016846v1_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia terricola,NCBI,GenBank,GCA_030168465.1,Tannat grapes from Uruguayan vineyards,fruit,Uruguay,Uruguay,eukaryote,MiFoDB_beta_v3_euk,99.17,0.62
GCA_030567255.1_ASM3056725v1_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycodaceae,Hanseniaspora,Hanseniaspora guilliermondii,NCBI,GenBank,GCA_030567255.1,Type material of Hanseniaspora guilliermondii,NA,United States of America,"Wisconsin, United States of America",eukaryote,MiFoDB_beta_v3_euk,62.61,0.43
GCA_030568935.1_ASM3056893v1_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,NA,Starmerella,Starmerella lactis-condensi,NCBI,GenBank,GCA_030568935.1,type material of Torula lactis-condensi,NA,United States of America,"Madison, WI, United States of America",eukaryote,MiFoDB_beta_v3_euk,79.13,0
GCA_030574495.1_ASM3057449v1_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Trigonopsidaceae,Trigonopsis,Trigonopsis cantarellii,NCBI,GenBank,GCA_030574495.1,Microbe sample from Trigonopsis cantarellii,NA,United States of America,"Wisconsin, United States of America",eukaryote,MiFoDB_beta_v3_euk,97.68,0.33
GCA_030580515.1_ASM3058051v1_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,Zygosaccharomyces mellis,NCBI,GenBank,GCA_030580515.1,Microbe sample from Zygosaccharomyces mellis,NA,United States of America,"Wisconsin, United States of America",eukaryote,MiFoDB_beta_v3_euk,100,0
GCA_030582255.1_ASM3058225v1_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Wickerhamomyces,Wickerhamomyces subpelliculosus,NCBI,GenBank,GCA_030582255.1,Type material of Pichia subpelliculosa,NA,United States of America,"Wisconsin, United States of America",eukaryote,MiFoDB_beta_v3_euk,99.17,0.21
GCA_030674195.1_ASM3067419v1_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,NA,Starmerella,Starmerella stellata,NCBI,GenBank,GCA_030674195.1,Type material of Saccharomyces stellatus,NA,United States of America,"Wisconsin, United States of America",eukaryote,MiFoDB_beta_v3_euk,84.78,0
GCA_031021025.1_ASM3102102v1_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kazachstania,Kazachstania exigua,NCBI,GenBank,GCA_031021025.1,NA,NA,United States of America,"CA, United States of America",eukaryote,MiFoDB_beta_v3_euk,100,94
GCA_037102815.1_ASM3710281v1_genomic,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,Neurospora intermedia,NCBI,GenBank,GCA_037102815.1,endobronchial mass biopsy tissue,NA,Taiwan,Taiwan,eukaryote,MiFoDB_beta_v3_euk,100,0
GCA_900106115.1_CBS_141442_assembly_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Candida/Metschnikowiaceae,Metschnikowiaceae intermedia,NCBI,GenBank,GCA_900106115.1,NA,NA,Sweden,Sweden,eukaryote,MiFoDB_beta_v3_euk,100,0
GCA_900519055.1_YAGA0_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Yarrowia,Yarrowia galli,NCBI,GenBank,GCA_900519055.1,Type material of Candida galli,NA,NA,NA,eukaryote,MiFoDB_beta_v3_euk,99.59,0.21
GCA_903819635.1_AWRI4619_genomic,Eukaryota,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium vineae,NCBI,GenBank,GCA_903819635.1,grape juice,fruit,Australia,Australia,eukaryote,MiFoDB_beta_v3_euk,100,0
GCA_903819665.1_AWRI4233_genomic,Eukaryota,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium mustum,NCBI,GenBank,GCA_903819665.1,grape juice,fruit,Australia,Australia,eukaryote,MiFoDB_beta_v3_euk,100,0
GCA_903853725.1_AWRI4620_genomic,Eukaryota,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium uvarum,NCBI,GenBank,GCA_903853725.1,grape juice,fruit,Australia,Australia,eukaryote,MiFoDB_beta_v3_euk,99.25,0
GCA_949129075.1_ZBA_7846_DN_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,Zygosaccharomyces bailii,NCBI,GenBank,GCA_949129075.1,NA,NA,United Kingdom,Japan,eukaryote,MiFoDB_beta_v3_euk,100,0.21
GCF_000002545.3_ASM254v2_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,Nakaseomyces glabratus,NCBI,RefSeq,GCF_000002545.3,Type material of Cryptococcus glabratus,NA,NA,NA,eukaryote,MiFoDB_beta_v3_euk,100,0
GCF_000002655.1_ASM265v1_genomic,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus,NCBI,RefSeq,GCF_000002655.1,Lungs of patient,NA,United Kingdom,United Kingdom,eukaryote,MiFoDB_beta_v3_euk,100,0
GCF_000002855.3_ASM285v2_genomic,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger,NCBI,RefSeq,GCF_000002855.3,NA,NA,Netherlands,Netherlands,eukaryote,MiFoDB_beta_v3_euk,100,0
GCF_000002945.1_ASM294v2_genomic,Eukaryota,Ascomycota,Schizosaccharomycetes,Schizosaccharomycetales,Schizosaccharomycetaceae,Schizosaccharomyces,Schizosaccharomyces pombe,NCBI,RefSeq,GCF_000002945.1,NA,NA,NA,NA,eukaryote,MiFoDB_beta_v3_euk,100,0
GCF_000006335.3_ASM633v3_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida tropicalis,NCBI,RefSeq,GCF_000006335.3,NA,NA,NA,NA,eukaryote,MiFoDB_beta_v3_euk,100,0
GCF_000006445.2_ASM644v2_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces hansenii,NCBI,RefSeq,GCF_000006445.2,Type material of Debaryomyces hansenii,NA,NA,NA,eukaryote,MiFoDB_beta_v3_euk,100,0
GCF_000011425.1_ASM1142v1_genomic,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus nidulans,NCBI,RefSeq,GCF_000011425.1,NA,NA,NA,NA,eukaryote,MiFoDB_beta_v3_euk,99.62,0
GCF_000142805.1_ASM14280v1_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Lachancea,Lachancea thermotolerans,NCBI,RefSeq,GCF_000142805.1,Type material of Zygosaccharomyces thermotolerans,NA,NA,NA,eukaryote,MiFoDB_beta_v3_euk,100,0
GCF_000143535.2_ASM14353v4_genomic,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,Botrytis cinerea,NCBI,RefSeq,GCF_000143535.2,NA,NA,Netherlands,Netherlands,eukaryote,MiFoDB_beta_v3_euk,100,0
GCF_000149425.1_ASM14942v1_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Meyerozyma,Meyerozyma guilliermondii,NCBI,RefSeq,GCF_000149425.1,Type material of Candida guilliermondii,NA,United States of America,United States of America,eukaryote,MiFoDB_beta_v3_euk,100,0
GCF_000149615.1_ASM14961v1_genomic,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus terreus,NCBI,RefSeq,GCF_000149615.1,NA,NA,NA,NA,eukaryote,MiFoDB_beta_v3_euk,98.87,0
GCF_000181695.2_ASM18169v2_genomic,Eukaryota,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia globosa,NCBI,RefSeq,GCF_000181695.2,Culture from type material of Malassezia globosa,NA,United States of America,United States of America,eukaryote,MiFoDB_beta_v3_euk,100,0
GCF_000182765.1_ASM18276v2_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida parapsilosis,NCBI,RefSeq,GCF_000182765.1,NA,NA,NA,NA,eukaryote,MiFoDB_beta_v3_euk,100,0
GCF_000182925.2_NC12_genomic,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,Neurospora crassa,NCBI,RefSeq,GCF_000182925.2,NA,NA,NA,NA,eukaryote,MiFoDB_beta_v3_euk,100,0
GCF_000184455.2_ASM18445v3_genomic,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus oryzae,NCBI,RefSeq,GCF_000184455.2,NA,NA,Japan,Japan,eukaryote,MiFoDB_beta_v3_euk,100,0
GCF_000243375.1_ASM24337v1_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Torulaspora,Torulaspora delbrueckii,NCBI,RefSeq,GCF_000243375.1,NA,NA,NA,NA,eukaryote,MiFoDB_beta_v3_euk,100,0
GCF_000400465.1_Wallemia_ichthyophaga_version_1.0_genomic,Eukaryota,Basidiomycota,Wallemiomycetes,Wallemiales,Wallemiaceae,Wallemia,Wallemia ichthyophaga,NCBI,RefSeq,GCF_000400465.1,Culture from neotype of Wallemia ichthyophaga,NA,Slovenia,"Ljubljana, Slovenia",eukaryote,MiFoDB_beta_v3_euk,100,0
GCF_000721785.1_Aureobasidium_pullulans_var._pullulans_EXF-150_assembly_version_1.0_genomic,Eukaryota,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium pullulans,NCBI,RefSeq,GCF_000721785.1,NA,NA,NA,NA,eukaryote,MiFoDB_beta_v3_euk,100,0
GCF_000769745.1_ASM76974v1_genomic,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium expansum,NCBI,RefSeq,GCF_000769745.1,Rotten apple fruit,fruit,NA,NA,eukaryote,MiFoDB_beta_v3_euk,100,0
GCF_001642055.1_Altal1_genomic,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata,NCBI,RefSeq,GCF_001642055.1,NA,NA,NA,NA,eukaryote,MiFoDB_beta_v3_euk,100,0
GCF_001661235.1_Picme2_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia membranifaciens,NCBI,RefSeq,GCF_001661235.1,NA,NA,United States of America,United States of America,eukaryote,MiFoDB_beta_v3_euk,100,0
GCF_001661255.1_Wican1_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Wickerhamomyces,Wickerhamomyces anomalus,NCBI,RefSeq,GCF_001661255.1,NA,NA,United States of America,United States of America,eukaryote,MiFoDB_beta_v3_euk,100,0
GCF_001661395.1_Hypbu1_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Hyphopichia,Hyphopichia burtonii,NCBI,RefSeq,GCF_001661395.1,NA,NA,United States of America,United States of America,eukaryote,MiFoDB_beta_v3_euk,100,0
GCF_001890805.1_Aspgl1_genomic,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus glaucus,NCBI,RefSeq,GCF_001890805.1,NA,NA,United States of America,United States of America,eukaryote,MiFoDB_beta_v3_euk,100,0
GCF_002708625.1_Rhimi1_1_genomic,Eukaryota,Mucoromycota,Mucoromycetes,Mucorales,Rhizopodaceae,Rhizopus,Rhizopus microsporus,NCBI,RefSeq,GCF_002708625.1,NA,NA,NA,NA,eukaryote,MiFoDB_beta_v3_euk,96.09,14.78
GCF_002926085.2_CanDuoHae_v1.0_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,[Candida] duobushaemulonis,NCBI,RefSeq,GCF_002926085.2,isolated from human blood,NA,United States of America,United States of America,eukaryote,MiFoDB_beta_v3_euk,100,0
GCF_003054445.1_ASM305444v1_genomic,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia kudriavzevii,NCBI,RefSeq,GCF_003054445.1,Type material of Candida krusei,NA,Ireland,Ireland,eukaryote,MiFoDB_beta_v3_euk,100,0
GCF_003184745.1_Aspuva1_genomic,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus uvarum,NCBI,RefSeq,GCF_003184745.1,Holotype of Aspergillus uvarum,NA,NA,NA,eukaryote,MiFoDB_beta_v3_euk,100,0
GCF_003290485.1_ASM329048v1_genomic,Eukaryota,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia restricta,NCBI,RefSeq,GCF_003290485.1,skin environment,NA,South Korea,South Korea,eukaryote,MiFoDB_beta_v3_euk,100,0
GCF_010724455.1_ASM1072445v1_genomic,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus lentulus,NCBI,RefSeq,GCF_010724455.1,Human isolate,NA,Japan,Japan,eukaryote,MiFoDB_beta_v3_euk,100,0
